file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00319_1214_3227414_to_3229104,ཡོངས་སུ་གཟུང་བ་རྣམས་ལ་འཇུག་པ་ལས།  ,yongs su gzung ba rnams la 'jug pa las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1214_3227414_to_3229104.wav,STT_AB,2,34,1.69,wav16k/STT_AB00319_1214_3227414_to_3229104.wav,ཡོངས་སུ་གཟུང་བ་རྣམས་ལ་འཇུག་པ་ལས།
STT_AB00319_1215_3229889_to_3230401,འདིར་ནི་ ,'dir ni _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1215_3229889_to_3230401.wav,STT_AB,2,9,0.512,wav16k/STT_AB00319_1215_3229889_to_3230401.wav,འདིར་ནི་
STT_AB00319_1226_3254428_to_3255196,འཐབ་བཅས་དང་།  ,'thab bcas dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1226_3254428_to_3255196.wav,STT_AB,2,14,0.768,wav16k/STT_AB00319_1226_3254428_to_3255196.wav,འཐབ་བཅས་དང་།
STT_AB00319_1227_3255674_to_3256578,སྡུག་བསྔལ་དང་།  ,sdug bsngal dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1227_3255674_to_3256578.wav,STT_AB,2,16,0.904,wav16k/STT_AB00319_1227_3255674_to_3256578.wav,སྡུག་བསྔལ་དང་
STT_AB00319_1220_3241783_to_3243472,གང་དག་ཟག་བཅས་ཉེར་ལེན་པའི།  ,gang dag zag bcas nyer len pa'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1220_3241783_to_3243472.wav,STT_AB,2,27,1.689,wav16k/STT_AB00319_1220_3241783_to_3243472.wav,གང་དག་ཟག་བཅས་ཉེར་ལེན་པའི།
STT_AB00319_1221_3244274_to_3246083,ཕུང་པོའང་དེ་དག་འཐབ་བཅས་ཀྱང་།  ,phung po'ang de dag 'thab bcas kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1221_3244274_to_3246083.wav,STT_AB,2,30,1.809,wav16k/STT_AB00319_1221_3244274_to_3246083.wav,ཕུང་པོའང་དེ་དག་འཐབས་བཅས་ཀྱང་།
STT_AB00319_1223_3249633_to_3251424,ལྟ་གནས་སྲིད་པའང་དེ་དག་ཡིན།  ,lta gnas srid pa'ang de dag yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1223_3249633_to_3251424.wav,STT_AB,2,28,1.791,wav16k/STT_AB00319_1223_3249633_to_3251424.wav,ལྟ་བཅས་སྲིད་པའང་དེ་དག་ཡིན།
STT_AB00319_1224_3251919_to_3252431,མདོ་ལས།  ,mdo las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1224_3251919_to_3252431.wav,STT_AB,2,9,0.512,wav16k/STT_AB00319_1224_3251919_to_3252431.wav,མདོ་ལས།
STT_AB00319_1236_3284547_to_3285281,རྩྭའི་མེ་ ,rtswa'i me _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1236_3284547_to_3285281.wav,STT_AB,2,10,0.734,wav16k/STT_AB00319_1236_3284547_to_3285281.wav,རྩའི་མས་
STT_AB00319_1243_3296578_to_3297414,ཞེས་པ་བཞིན།  ,zhes pa bzhin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1243_3296578_to_3297414.wav,STT_AB,2,13,0.836,wav16k/STT_AB00319_1243_3296578_to_3297414.wav,བཞེས་པ་བཞིན།
STT_AB00319_1235_3283233_to_3284223,རྩ་ལས་བྱུང་བའི་མེ་ལ་ ,rtsa las byung ba'i me la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1235_3283233_to_3284223.wav,STT_AB,2,21,0.99,wav16k/STT_AB00319_1235_3283233_to_3284223.wav,རྩ་ལས་བྱུང་བའི་མེ་ལ་
STT_AB00319_1244_3300298_to_3303933,ཁྱོད་ལས་ཉེ་བར་ལེན་པ་ཉོན་མོངས་པ་འབྱུང་བའི་ཕུང་པོ་ཡིན་པའི་ཕྱིར།  ,khyod las nye bar len pa nyon mongs pa 'byung ba'i phung po yin pa'i phyir/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1244_3300298_to_3303933.wav,STT_AB,2,63,3.635,wav16k/STT_AB00319_1244_3300298_to_3303933.wav,ཁྱོད་ལས་ཉེ་བར་ལེན་པ་ཉོན་མོངས་པ་འབྱུང་བའི་ཕུང་པོ་ཡིན་པའི་ཕྱིར།
STT_AB00319_1245_3305588_to_3306203,སྨན་དང་ ,sman dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1245_3305588_to_3306203.wav,STT_AB,2,8,0.615,wav16k/STT_AB00319_1245_3305588_to_3306203.wav,སྨན་དང་
STT_AB00319_1246_3306510_to_3311151,མེ་ཏོག་འབྱུང་བའི་ཤིང་ལ་སྨན་དང་མེ་ཏོག་གི་ཤིང་ཞེས་པ་བཞིན་ནོ།  ,me tog 'byung ba'i shing la sman dang me tog gi shing zhes pa bzhin no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1246_3306510_to_3311151.wav,STT_AB,2,60,4.641,wav16k/STT_AB00319_1246_3306510_to_3311151.wav,མེ་ཏོག་འབྱུང་བའི་ཤིང་ལ་སྨན་དང་མེ་ཏོག་གི་ཤིང་ཞེས་པ་བཞིན་ནོ།
STT_AB00319_1253_3326817_to_3332090,ཟག་པ་དམིགས་པ་དང་མཚུངས་ལྡན་གང་རུང་གི་སྒོ་ནས་རྒྱས་པ་ལ་ཟག་བཅས་ཞེས་བརྗོད་པ་བཞིན་ནོ།  ,zag pa dmigs pa dang mtshungs ldan gang rung gi sgo nas rgyas pa la zag bcas zhes brjod pa bzhin no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1253_3326817_to_3332090.wav,STT_AB,2,81,5.273,wav16k/STT_AB00319_1253_3326817_to_3332090.wav,ཟག་པ་དམིགས་པ་དང་མཚུངས་ལྡན་གང་རུང་གི་སྒོ་ནས་རྒྱས་པ་ལ་ཟག་བཅས་ཞེས་བརྗོད་པ་བཞིན་ནོ།
STT_AB00319_1241_3293728_to_3295042,རྒྱལ་པོ་ལ་རག་ལས་པའི་མི་ལ་ ,rgyal po la rag las pa'i mi la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00319_1241_3293728_to_3295042.wav,STT_AB,2,26,1.314,wav16k/STT_AB00319_1241_3293728_to_3295042.wav,རྒྱལ་པོ་ལ་རག་ལས་པའི་མི་ལ་
